satID,Second,Data Bits Generated,Data Bits Generated
109,721,TRUE,18240
110,721,TRUE,223440
111,721,TRUE,0
207,721,TRUE,223440
208,721,TRUE,223440
209,721,TRUE,0
303,721,TRUE,0
304,721,TRUE,0
306,721,TRUE,0
401,721,TRUE,218880
402,721,TRUE,218880
403,721,TRUE,0
513,721,TRUE,0
514,721,TRUE,218880
515,721,TRUE,0
109,722,TRUE,0
110,722,TRUE,0
111,722,TRUE,0
207,722,TRUE,0
208,722,TRUE,0
209,722,TRUE,0
303,722,TRUE,0
304,722,TRUE,0
306,722,TRUE,0
401,722,TRUE,223440
402,722,TRUE,223440
403,722,TRUE,0
513,722,TRUE,0
514,722,TRUE,223440
515,722,TRUE,0
109,723,TRUE,27360
110,723,TRUE,223440
111,723,TRUE,0
207,723,TRUE,223440
208,723,TRUE,223440
209,723,TRUE,0
303,723,TRUE,0
304,723,TRUE,0
306,723,TRUE,0
401,723,TRUE,223440
402,723,TRUE,223440
403,723,TRUE,0
513,723,TRUE,0
514,723,TRUE,223440
515,723,TRUE,0
109,724,TRUE,31920
110,724,TRUE,223440
111,724,TRUE,0
207,724,TRUE,223440
208,724,TRUE,223440
209,724,TRUE,0
303,724,TRUE,0
304,724,TRUE,0
306,724,TRUE,0
401,724,TRUE,0
402,724,TRUE,0
403,724,TRUE,0
513,724,TRUE,0
514,724,TRUE,0
515,724,TRUE,0
109,725,TRUE,0
110,725,TRUE,0
111,725,TRUE,0
207,725,TRUE,0
208,725,TRUE,0
209,725,TRUE,0
303,725,TRUE,0
304,725,TRUE,0
306,725,TRUE,0
401,725,TRUE,218880
402,725,TRUE,218880
403,725,TRUE,0
513,725,TRUE,0
514,725,TRUE,218880
515,725,TRUE,0
109,726,TRUE,0
110,726,TRUE,0
111,726,TRUE,0
207,726,TRUE,0
208,726,TRUE,0
209,726,TRUE,0
303,726,TRUE,0
304,726,TRUE,0
306,726,TRUE,0
401,726,TRUE,0
402,726,TRUE,0
403,726,TRUE,0
513,726,TRUE,0
514,726,TRUE,0
515,726,TRUE,0
109,727,TRUE,0
110,727,TRUE,0
111,727,TRUE,0
207,727,TRUE,0
208,727,TRUE,0
209,727,TRUE,0
303,727,TRUE,0
304,727,TRUE,0
306,727,TRUE,0
401,727,TRUE,0
402,727,TRUE,0
403,727,TRUE,0
513,727,TRUE,0
514,727,TRUE,0
515,727,TRUE,0
109,728,TRUE,0
110,728,TRUE,0
111,728,TRUE,0
207,728,TRUE,0
208,728,TRUE,0
209,728,TRUE,0
303,728,TRUE,0
304,728,TRUE,0
306,728,TRUE,0
401,728,TRUE,0
402,728,TRUE,0
403,728,TRUE,0
513,728,TRUE,0
514,728,TRUE,0
515,728,TRUE,0
109,729,TRUE,0
110,729,TRUE,0
111,729,TRUE,0
207,729,TRUE,0
